country,city,latitude,longitude
China,"Chaohu City, Hefei City",31.646959999999996,117.7166
China,"Baohe District, Hefei City",31.77863,117.3319
China,"High-Tech Zone, Hefei City",31.828313,117.22484399999999
China,"High-Tech Zone, Hefei City",31.828313,117.22484399999999
China,"Feidong County, Hefei City",32.00123,117.5681
China,Lu'an City,31.75941,116.3151
China,Fuyang City,32.9188,115.7036
China,Huaibei City,33.72722,116.7424
China,Huainan City,32.75738,116.734
China,Hefei City,31.79444,117.3428
China,Lu'an City,31.75941,116.3151
China,Fuyang City,32.9188,115.7036
China,Anqing City,30.61122,116.5956
China,Chizhou City,30.28525,117.3658
China,Bengbu City,33.10901,117.32600000000001
China,Changping District,40.20789,116.2063
China,Changping District,40.20789,116.2063
China,Changping District,40.20789,116.2063
China,Daxing District,39.642379999999996,116.4172
China,Daxing District,39.642379999999996,116.4172
China,Fengtai District,39.8306,116.2499
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Shijingshan District,39.92715,116.1737
China,Shijingshan District,39.92715,116.1737
China,Tongzhou District,39.80292,116.7363
China,Xicheng District,39.91093,116.3591
China,Xicheng District,39.91093,116.3591
China,,40.18535,116.4151
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,,40.18535,116.4151
China,,40.18535,116.4151
China,,40.18535,116.4151
China,,40.18535,116.4151
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Haidian District,40.02186,116.2285
China,Chaoyang District,39.94612,116.5128
China,Chaoyang District,39.94612,116.5128
China,Chaoyang District,39.94612,116.5128
China,Chaoyang District,39.94612,116.5128
China,Changshou District,29.95723,107.1356
China,Changshou District,29.95723,107.1356
China,Wanzhou District,30.706120000000002,108.4023
China,Wanzhou District,30.706120000000002,108.4023
China,Wushan County,31.11774,109.8962
China,Wushan County,31.11774,109.8962
China,Fuling District,29.660859999999996,107.3324
China,Yongchuan District,29.29301,105.8705
China,Yongchuan District,29.29301,105.8705
China,Dadukou District,29.41508,106.4452
China,Jiulongpo District,29.431890000000003,106.3625
China,Yubei District,29.81392,106.7437
